"species_id","common_name","scientific_name","species_num_cd"
"CALT","California Towhee","Pipilo crissalis",591.1
"CAMA","Caribbean Martin","Progne dominicensis",611.3
"CANT","Canyon Towhee","Pipilo fuscus",591
"CANV","Canvasback","Aythya valisineria",147
"CANW","Canyon Wren","Catherpes mexicanus",717
"CAPA","Carolina Parakeet","Conuropsis carolinensis",381.4
"CAPO","Central American Pygmy-Owl","Glaucidium griseiceps",NA
"CAQU","California Quail","Callipepla californica",294
"CARC","Caribbean Coot","Fulica caribaea",221.1
"CARW","Carolina Wren","Thryothorus ludovicianus",718
"CASP","Cassin's Sparrow","Aimophila cassinii",578
"CASW","Cave Swallow","Petrochelidon fulva",612.1
"CATE","Caspian Tern","Hydroprogne caspia",64
"CATH","California Thrasher","Toxostoma redivivum",710
"CATY","Cattle Tyrant","Machetornis rixosa",NA
"CAVI","Cassin's Vireo","Vireo cassinii",629.2
"CAWA","Canada Warbler","Wilsonia canadensis",686
"CBAN","Chestnut-backed Antbird","Myrmeciza exsul",NA
"CBCC","Carolina X Black-c. Chickadee Hybrid","Poecile caroli. x atrica.",NA
"CBCH","Chestnut-backed Chickadee","Poecile rufescens",741
"CBCU","Chestnut-bellied Cuckoo","Coccyzus pluvialis",NA
"CBFL","Cinnamon-bellied Flowerpiercer","Diglossa baritula",NA
"CBSA","Chestnut-bellied Sandgrouse","Pterocles exustus",NA
"CBTA","Crimson-backed Tanager","Ramphocelus dimidiatus",NA
"CBTH","Curve-billed Thrasher","Toxostoma curvirostre",707
"CBWO","Crimson-bellied Woodpecker","Campephilus haematogaster",NA
"CCBF","Chestnut-capped Brush-Finch","Buarremon brunneinucha",NA
"CCGR","Crimson-collared Grosbeak","Rhodothraupis celaeno",NA
"CCLO","Chestnut-collared Longspur","Calcarius ornatus",538
"CCOW","Chestnut-colored Woodpecker","Celeus castaneus",NA
"CCRO","Clay-colored Robin","Turdus grayi",762.1
"CCRW","Crimson-crested Woodpecker","Campephilus melanoleucos",NA
"CCSP","Clay-colored Sparrow","Spizella pallida",561
"CCSW","Chestnut-collared Swift","Streptoprocne rutila",NA
"CCTA","Crimson-collared Tanager","Ramphocelus sanguinolentus",NA
"CCWA","Crescent-chested Warbler","Parula superciliosa",NA
"CEDW","Cedar Waxwing","Bombycilla cedrorum",619
"CERW","Cerulean Warbler","Dendroica cerulea",658
"CFMA","Chestnut-fronted Macaw","Ara severus",NA
"CFPA","Crimson-fronted Parakeet","Aratinga finschi",NA
"CGWO","Cuban Green Woodpecker","Xiphidiopicus percussus",NA
"CHAS","Chapman's Swift","Chaetura chapmani",NA
"CHEG","Chinese Egret","Egretta eulophotes",NA
"CHEM","Coppery-headed Emerald","Elvira cupreiceps",NA
"CHET","Cherrie's Tanager","Ramphocelus costaricensis",NA
"CHHU","Charming Hummingbird","Amazilia decora",NA
"CHMU","Chestnut Munia","Lonchura atricapilla",NA
"CHOR","Chestnut-headed Oropendola","Psarocolius wagleri",NA
"CHOT","Choco Tapaculo","Scytalopus chocoensis",NA
"CHPH","Chinese Pond-Heron","Ardeola bacchus",NA
"CHQD","Chiriqui Quail-Dove","Geotrygon chiriquensis",NA
"CHRA","Chihuahuan Raven","Corvus cryptoleucus",487
"CHRE","Common/Hoary Redpoll","Carduelis flamm./hornemanni",NA
"CHSH","Christmas Shearwater","Puffinus nativitatis",96.3
"CHSP","Chipping Sparrow","Spizella passerina",560
"CHSW","Chimney Swift","Chaetura pelagica",423
"CHTI","Choco Tinamou","Crypturellus kerriae",NA
"CHUK","Chukar","Alectoris chukar",288.2
"CIHU","Cinnamon Hummingbird","Amazilia rutila",NA
